District,Zone,Latitude,Longitude
Kendrapara,Orange,20.5000,86.4200
Kendujhar,Orange,21.6330,85.6000
Khordha,Orange,20.1660,85.6660
Koraput,Orange,19.1910,82.7083
Malkangiri,Green,19.1910,81.9000
Mayurbhanj,Orange,21.8242,86.4242
Nabarangpur,Green,19.2300,82.5500
Nayagarh,Orange,20.1300,85.1000
Nuapada,Green,20.8167,82.5333
Puri,Green,19.8188,85.8313
Rayagada,Green,19.1700,83.4200
Sambalpur,Green,21.4700,83.9700
Subarnapur,Green,20.8500,83.9000
Sundergarh,Orange,22.1200,84.0300
Amritsar,Orange,31.6400,74.8600
Barnala,Orange,30.3833,75.5500
Bathinda,Orange,30.2100,74.9400
Faridkot,Orange,30.6700,74.7600
Fatehgarh Sahib,Orange,30.6472,76.3931
Fazilka,Green,30.4030,74.0250
Firozpur,Orange,30.9166,74.6000
Gurdaspur,Orange,31.9167,75.2500
Hoshiarpur,Orange,31.5300,75.9200
Jalandhar,Red,31.3260,75.5760
Kapurthala,Orange,31.3794,75.3847
Ludhiana,Red,30.9100,75.8500
Mansa,Orange,29.9833,75.3833
Moga,Orange,30.8000,75.1700
Pathankot,Orange,32.2668,75.6434
Patiala,Red,30.3400,76.3800
Rupnagar,Green,30.9664,76.5331
Mohali,Orange,30.7800,76.6900
Sangrur,Orange,30.2506,75.8442
Shahid Bhagat Singh Nagar,Orange,31.1274,76.1093
Sri Muktsar Sahib,Orange,30.4750,74.5150
Tarn Taran Sahib,Orange,31.4491,74.9205
Karaikal,Green,10.9327,79.8319
Mahé,Green,11.7208,75.5337
Puducherry,Orange,11.9350,79.8300
Yanam,Green,16.7333,82.2500
Ajmer,Red,26.4500,74.6400
Alwar,Orange,27.5454,76.6049
Banswara,Red,23.5500,74.4500
Baran,Green,25.1000,76.5200
Barmer,Orange,25.7500,71.3800
Bharatpur,Red,27.2504,77.5000
Bhilwara,Orange,25.3504,74.6350
Bikaner,Orange,28.0304,73.3299
Bundi,Green,25.4320,75.6480
Chittorgarh,Orange,24.8820,74.6230
Churu,Orange,23.4246,76.2757
Dausa,Orange,26.8932,76.3375
Dholpur,Orange,26.7000,77.9000
Dungarpur,Orange,23.8417,73.7147
Sri Ganganagar,Green,29.9200,73.8800
Hanumangarh,Orange,29.6109,74.2951
Jaipur,Red,26.9260,75.8235
Jaisalmer,Orange,26.9200,70.9000
Jalore,Orange,25.3500,72.6200
Jhalawar,Red,24.6000,76.1500
Jhunjhunu,Orange,28.1300,75.4000
Jodhpur,Red,26.2800,73.0200
Karauli,Orange,26.5000,77.0200
Kota,Red,25.1800,75.8300
Nagaur,Red,27.2000,73.7300
Pali,Orange,25.7700,73.3300
Pratapgarh,Green,24.0344,74.7804
Rajsamand,Orange,25.0700,73.8800
Sawai Madhopur,Orange,26.0174,76.3554
Sikar,Orange,27.6200,75.1500
Sirohi,Orange,24.8852,72.8575
Tonk,Orange,26.1505,75.7900
Udaipur,Orange,24.6000,73.7300
East Sikkim,Green,27.3170,88.6000
North ,Green,27.8230,88.5560
South ,Green,27.2850,88.3940
West Bengal,Green,27.5330,88.5122
Adilabad,Orange,19.6700,78.5300
Bhadradri Kothagudem,Green,17.7153,80.5715
Hyderabad,Red,17.3660,78.4760
Jagtial,Orange,18.8000,78.9300
Jangaon,Orange,17.7200,79.1800
Jayashankar Bhupalapally,Orange,18.4293,79.8630
Jogulamba Gadwal,Orange,16.2330,77.8080
Kamareddy,Orange,18.3167,78.3500
Karimnagar,Orange,18.4369,79.1242
Khammam,Orange,17.2500,80.1500
Asifabad,Orange,19.3700,79.2800
Mahabubabad,Green,17.6167,80.0167
Mahbubnagar,Orange,16.7500,78.0000
Mancherial,Orange,18.8679,79.4639
Medak,Orange,18.0460,78.2630
Medchal Malkajgiri,Red,17.4139,78.5850
Mulugu,Green,18.1930,79.9410
Nagarkurnool,Green,16.4833,78.3333
